Date,Timestamp_MS,Urban_LST_Observed_C,Urban_LST_Fitted_C,Rural_LST_Observed_C,Rural_LST_Fitted_C,UHI_Delta_C
2020-01-01,1577836800000,36.09,34.79,26.9,25.19,9.19
2020-01-17,1579219200000,36.02,35.26,25.93,25.61,10.09
2020-02-02,1580601600000,34.07,35.61,25.37,25.96,8.7
2020-02-18,1581984000000,37.31,35.83,25.67,26.19,11.64
2020-03-05,1583366400000,37.32,35.9,26.59,26.29,10.73
2020-03-21,1584748800000,36.58,35.81,27.56,26.27,9.02
2020-04-06,1586131200000,35.32,35.57,26.96,26.1,8.36
2020-04-22,1587513600000,36.51,35.19,26.12,25.82,10.39
2020-05-08,1588896000000,33.8,34.71,25.92,25.44,7.88
2020-05-24,1590278400000,33.91,34.16,26.63,24.99,7.28
2020-06-09,1591660800000,33.84,33.59,24.88,24.5,8.96
2020-06-25,1593043200000,31.2,33.03,24.58,24.01,6.62
2020-07-11,1594425600000,31.65,32.52,22.41,23.56,9.24
2020-07-27,1595808000000,32.41,32.12,21.79,23.17,10.62
2020-08-12,1597190400000,32.49,31.84,22.23,22.89,10.26
2020-08-28,1598572800000,30.96,31.71,22.28,22.73,8.68
2020-09-13,1599955200000,31.85,31.74,21.37,22.71,10.48
2020-09-29,1601337600000,32.49,31.92,23.0,22.81,9.49
2020-10-15,1602720000000,32.11,32.24,23.48,23.05,8.63
2020-10-31,1604102400000,33.75,32.68,23.0,23.39,10.75
2020-11-16,1605484800000,32.11,33.21,23.28,23.82,8.83
2020-12-02,1606867200000,34.37,33.78,24.13,24.3,10.24
2020-12-18,1608249600000,34.59,34.35,24.18,24.79,10.41
2021-01-03,1609632000000,35.14,34.88,24.41,25.26,10.73
2021-01-19,1611014400000,35.76,35.33,25.66,25.68,10.1
2021-02-04,1612396800000,36.37,35.66,26.11,26.0,10.26
2021-02-20,1613779200000,34.7,35.86,27.02,26.22,7.68
2021-03-08,1615161600000,36.4,35.9,26.96,26.3,9.44
2021-03-24,1616544000000,36.02,35.78,26.05,26.25,9.97
2021-04-09,1617926400000,36.66,35.51,26.19,26.06,10.47
2021-04-25,1619308800000,33.97,35.11,24.98,25.76,8.99
2021-05-11,1620691200000,33.47,34.62,26.76,25.36,6.71
2021-05-27,1622073600000,34.03,34.06,25.22,24.9,8.81
2021-06-12,1623456000000,33.5,33.49,23.78,24.41,9.72
2021-06-28,1624838400000,33.37,32.93,23.56,23.93,9.81
2021-07-14,1626220800000,34.16,32.45,22.83,23.48,11.33
2021-07-30,1627603200000,32.15,32.06,24.51,23.12,7.64
2021-08-15,1628985600000,31.02,31.81,21.66,22.86,9.36
2021-08-31,1630368000000,30.24,31.7,23.25,22.72,6.99
2021-09-16,1631750400000,31.25,31.76,23.85,22.72,7.4
2021-10-02,1633132800000,31.6,31.96,23.68,22.85,7.92
2021-10-18,1634515200000,31.95,32.31,22.8,23.1,9.15
2021-11-03,1635897600000,32.96,32.77,23.01,23.46,9.95
2021-11-19,1637280000000,33.37,33.3,23.86,23.9,9.51
2021-12-05,1638662400000,35.1,33.87,23.48,24.38,11.62
2021-12-21,1640044800000,33.26,34.44,26.3,24.88,6.96
2022-01-06,1641427200000,34.43,34.96,25.7,25.34,8.73
2022-01-22,1642809600000,35.09,35.39,25.86,25.74,9.23
2022-02-07,1644192000000,35.0,35.71,26.6,26.05,8.4
2022-02-23,1645574400000,36.35,35.87,26.98,26.24,9.37
2022-03-11,1646956800000,35.34,35.89,27.12,26.3,8.22
2022-03-27,1648339200000,34.8,35.74,25.92,26.22,8.88
2022-04-12,1649721600000,35.06,35.45,25.31,26.02,9.75
2022-04-28,1651104000000,34.6,35.04,26.47,25.7,8.13
2022-05-14,1652486400000,33.31,34.53,25.06,25.29,8.25
2022-05-30,1653868800000,33.58,33.96,23.6,24.82,9.98
2022-06-15,1655251200000,34.67,33.39,25.06,24.33,9.61
2022-07-01,1656633600000,32.75,32.85,23.02,23.85,9.73
2022-07-17,1658016000000,33.0,32.37,24.1,23.41,8.9
2022-08-02,1659398400000,32.01,32.01,22.74,23.07,9.27
2022-08-18,1660780800000,32.85,31.78,22.99,22.82,9.86
2022-09-03,1662163200000,31.68,31.7,22.3,22.71,9.38
2022-09-19,1663545600000,31.22,31.78,21.95,22.73,9.27
2022-10-05,1664928000000,31.42,32.01,21.87,22.88,9.55
2022-10-21,1666310400000,31.96,32.38,23.65,23.16,8.31
2022-11-06,1667692800000,32.64,32.85,24.62,23.53,8.02
2022-11-22,1669075200000,33.59,33.4,23.34,23.98,10.25
2022-12-08,1670457600000,33.33,33.97,23.11,24.47,10.22
2022-12-24,1671840000000,34.35,34.54,24.95,24.96,9.4
2023-01-09,1673222400000,35.04,35.04,25.69,25.42,9.35
2023-01-25,1674604800000,34.93,35.46,25.12,25.8,9.81
2023-02-10,1675987200000,36.15,35.74,25.85,26.09,10.3
2023-02-26,1677369600000,35.94,35.89,27.34,26.26,8.6
2023-03-14,1678752000000,35.78,35.87,25.99,26.3,9.79
2023-03-30,1680134400000,36.97,35.7,26.29,26.2,10.68
2023-04-15,1681516800000,36.3,35.39,26.21,25.97,10.09
2023-05-01,1682899200000,34.75,34.95,25.18,25.63,9.57
2023-05-17,1684281600000,34.84,34.43,24.96,25.21,9.88
2023-06-02,1685664000000,31.65,33.87,24.62,24.74,7.03
2023-06-18,1687046400000,33.0,33.29,23.84,24.24,9.16
2023-07-04,1688428800000,32.88,32.76,23.75,23.77,9.13
2023-07-20,1689811200000,32.61,32.3,25.18,23.35,7.43
2023-08-05,1691193600000,31.71,31.96,21.98,23.02,9.73
2023-08-21,1692576000000,32.63,31.75,22.47,22.79,10.16
2023-09-06,1693958400000,32.45,31.7,22.25,22.7,10.2
2023-09-22,1695340800000,30.25,31.81,21.56,22.75,8.69
2023-10-08,1696723200000,32.34,32.07,22.72,22.92,9.62
2023-10-24,1698105600000,31.7,32.45,23.48,23.21,8.22
2023-11-09,1699488000000,32.26,32.94,21.53,23.61,10.73
2023-11-25,1700870400000,34.06,33.5,25.45,24.06,8.61
2023-12-11,1702252800000,33.55,34.07,25.01,24.55,8.54
2023-12-27,1703635200000,33.6,34.63,25.47,25.04,8.13
2024-01-12,1705017600000,33.84,35.12,25.75,25.49,8.09
2024-01-28,1706400000000,35.08,35.52,25.62,25.86,9.46
2024-02-13,1707782400000,37.09,35.78,27.67,26.13,9.42
2024-02-29,1709164800000,35.67,35.9,26.54,26.28,9.13
2024-03-16,1710547200000,35.13,35.85,26.11,26.29,9.02
2024-04-01,1711929600000,34.96,35.66,26.9,26.17,8.06
2024-04-17,1713312000000,35.74,35.32,25.76,25.92,9.98
2024-05-03,1714694400000,37.36,34.87,25.32,25.57,12.04
2024-05-19,1716076800000,34.0,34.34,24.62,25.13,9.38
2024-06-04,1717459200000,33.28,33.77,23.88,24.65,9.4
2024-06-20,1718841600000,33.46,33.2,23.26,24.16,10.2
2024-07-06,1720224000000,33.03,32.67,24.17,23.69,8.86
2024-07-22,1721606400000,31.62,32.23,24.34,23.28,7.28
2024-08-07,1722988800000,32.97,31.91,23.23,22.97,9.74
2024-08-23,1724371200000,31.6,31.73,23.64,22.77,7.96
2024-09-08,1725753600000,31.21,31.71,22.1,22.7,9.11
2024-09-24,1727136000000,32.14,31.84,23.39,22.77,8.75
2024-10-10,1728518400000,33.22,32.12,21.36,22.96,11.86
2024-10-26,1729900800000,33.51,32.53,23.41,23.28,10.1
